Date,Content,оружие,расстояние,имя игрока,жертва
2023-11-14 17:31:00,"KARLSON убил milka (Blaser B95 Luxus, 257.2m)",Blaser B95 Luxus,257.2,KARLSON,milka
2023-11-14 17:31:00,"[B.I.T.S]?Aslanbek? убил SUrva (M24, 225.13m)",M24,225.13,[B.I.T.S]?Aslanbek?,SUrva
2023-11-14 17:32:00,"Mango убил Kabanchik (M24, 80.2m)",M24,80.2,Mango,Kabanchik
2023-11-14 17:32:00,"KARLSON убил Shram (АК-12, 7.55m)",АК-12,7.55,KARLSON,Shram
2023-11-14 17:34:00,"PANDA убил _wkzmxx (СВД, 3.28m)",СВД,3.28,PANDA,_wkzmxx
2023-11-14 17:35:00,"PANDA убил Poxyist (СВД, 3.69m)",СВД,3.69,PANDA,Poxyist
2023-11-14 17:35:00,"Poxyist убил PANDA (Н&К-416, 3.69m)",Н&К-416,3.69,Poxyist,PANDA
2023-11-14 17:35:00,"Plotva убил KARLSON (CMMG Mk47 Mutant, 129.88m)",CMMG Mk47 Mutant,129.88,Plotva,KARLSON
2023-11-14 17:36:00,"[B.I.T.S] Kisse убил GG (AK-105, 15.72m)",AK-105,15.72,[B.I.T.S] Kisse,GG
2023-11-14 17:37:00,"zmeinysh убил [B.I.T.S] Kisse (Steyr AUG A3, 22.43m)",Steyr AUG A3,22.43,zmeinysh,[B.I.T.S] Kisse
2023-11-14 17:37:00,"mrak убил Field Marshal (ИЖ70-17A, 3.21m)",ИЖ70-17A,3.21,mrak,Field Marshal
2023-11-14 17:39:00,"JAME007 убил mrak (ВПО-190 «Горностай», 56.45m)",ВПО-190 «Горностай»,56.45,JAME007,mrak
2023-11-14 17:40:00,"Pain Peko убил Kabanchik (МР-133, 16.9m)",МР-133,16.9,Pain Peko,Kabanchik
2023-11-14 17:42:00,"SOLEVOI  убил Sanchez (FN FAL, 55.81m)",FN FAL,55.81,SOLEVOI ,Sanchez
2023-11-14 17:44:00,"Zavod убил Algiza (AK-102, 2.65m)",AK-102,2.65,Zavod,Algiza
2023-11-14 17:46:00,"Ukitaki убил Vladislove2033  (AK-74М, 13.27m)",AK-74М,13.27,Ukitaki,Vladislove2033 
2023-11-14 17:47:00,"Woody убил _wkzmxx (CMMG Mk47 Mutant, 5.11m)",CMMG Mk47 Mutant,5.11,Woody,_wkzmxx
2023-11-14 17:48:00,"Plotva убил SUrva (CMMG Mk47 Mutant, 26.39m)",CMMG Mk47 Mutant,26.39,Plotva,SUrva
