Date,Content,оружие,расстояние,имя игрока,жертва
2023-11-16 22:48:00,"Smael убил NaGrEvPyKaNa (AK-101, 3.92m)",AK-101,3.92,Smael,NaGrEvPyKaNa
2023-11-16 22:48:00,"Smael убил Koburaptor (AK-101, 4.37m)",AK-101,4.37,Smael,Koburaptor
2023-11-16 23:38:00,"zAp1k убил WasEbet (МР-133, 2.56m)",МР-133,2.56,zAp1k,WasEbet
2023-11-16 23:39:00,"Olejons убил zAp1k (AK-74М, 4.56m)",AK-74М,4.56,Olejons,zAp1k
2023-11-16 23:40:00,"Olejons убил La1vaN- (Steyr Scout, 0.57m)",Steyr Scout,0.57,Olejons,La1vaN-
2023-11-16 23:56:00,"Ky3bMa убил :3 (ВПО-190 «Горностай», 128.81m)",ВПО-190 «Горностай»,128.81,Ky3bMa,:3
2023-11-16 23:56:00,"4ekHyTbIu* убил HiDespondency (AK-102, 6.67m)",AK-102,6.67,4ekHyTbIu*,HiDespondency
2023-11-16 23:56:00,"[NOD] dima_delis убил Olejons (Blaser B95 Luxus, 46.93m)",Blaser B95 Luxus,46.93,[NOD] dima_delis,Olejons
2023-11-16 23:58:00,"BERS убил [NOD] dima_delis (AK-105, 4.29m)",AK-105,4.29,BERS,[NOD] dima_delis
2023-11-16 23:58:00,"Kxarn убил [GANTL]HideX (M16-A2, 7.25m)",M16-A2,7.25,Kxarn,[GANTL]HideX
2023-11-16 23:58:00,"Kxarn убил BERS (M16-A2, 3.42m)",M16-A2,3.42,Kxarn,BERS
2023-11-16 23:59:00,"Kxarn убил 4ekHyTbIu* (M16-A2, 2.59m)",M16-A2,2.59,Kxarn,4ekHyTbIu*
2023-11-17 00:01:00,":banana: убил Ky3bMa (СВТ-40, 90.52m)",СВТ-40,90.52,:banana:,Ky3bMa
2023-11-17 00:09:00,"Bos_S убил VAFLER (M24, 67.75m)",M24,67.75,Bos_S,VAFLER
2023-11-17 00:10:00,"Bos_S убил Deadlift Truck (Ego Lifting) (M24, 128.78m)",M24,128.78,Bos_S,Deadlift Truck (Ego Lifting)
2023-11-17 00:24:00,"Pepega убил Rapira (FN FAL, 52.84m)",FN FAL,52.84,Pepega,Rapira
2023-11-17 00:24:00,"Zakolebai убил Akina (ОЦ-14 «Гроза», 42.18m)",ОЦ-14 «Гроза»,42.18,Zakolebai,Akina
2023-11-17 00:29:00,"Olejons убил HiDespondency (Сайга-12К, 8.16m)",Сайга-12К,8.16,Olejons,HiDespondency
2023-11-17 00:30:00,"Kxarn убил Olejons (CZ-550 Lux, 152.45m)",CZ-550 Lux,152.45,Kxarn,Olejons
2023-11-17 00:32:00,"WasEbet убил [NOD] dima_delis (ОЦ-12 «Тисс», 5.93m)",ОЦ-12 «Тисс»,5.93,WasEbet,[NOD] dima_delis
2023-11-17 00:41:00,"Weldermanns убил Akina (Škorpion vz. 64, 6.35m)",Škorpion vz. 64,6.35,Weldermanns,Akina
2023-11-17 00:41:00,"pld убил Rapira (ИЖ70-17A, 5.92m)",ИЖ70-17A,5.92,pld,Rapira
2023-11-17 00:46:00,"WasEbet убил Kxarn (ОЦ-12 «Тисс», 3.72m)",ОЦ-12 «Тисс»,3.72,WasEbet,Kxarn
2023-11-17 00:55:00,"nee1q убил Splash (Winchester Model 70, 129.24m)",Winchester Model 70,129.24,nee1q,Splash
2023-11-17 01:09:00,":banana: убил DrScalp (AK-74М, 15.23m)",AK-74М,15.23,:banana:,DrScalp
2023-11-17 01:09:00,":3 убил VAFLER (M24, 77.38m)",M24,77.38,:3,VAFLER
2023-11-17 01:13:00,"BERS убил :3 (Winchester Model 70, 346.88m)",Winchester Model 70,346.88,BERS,:3
2023-11-17 01:13:00,":banana: убил WasEbet (AK-103, 63.86m)",AK-103,63.86,:banana:,WasEbet
2023-11-17 01:38:00,":banana: убил DrScalp (AK-74М, 48.21m)",AK-74М,48.21,:banana:,DrScalp
2023-11-17 01:38:00,":banana: убил WasEbet (AK-74М, 12.92m)",AK-74М,12.92,:banana:,WasEbet
2023-11-17 01:51:00,"pld убил DrScalp (ИЖ70-17A, 25.54m)",ИЖ70-17A,25.54,pld,DrScalp
2023-11-17 01:57:00,"BERS убил :3 (Winchester Model 70, 463.87m)",Winchester Model 70,463.87,BERS,:3
2023-11-17 01:58:00,"Rapira убил Akina (Топор пожарного, 2.08m)",Топор пожарного,2.08,Rapira,Akina
2023-11-17 02:16:00,":banana: убил Conqueror (СВТ-40, 213.93m)",СВТ-40,213.93,:banana:,Conqueror
2023-11-17 02:23:00,":banana: убил BERS (AK-74М, 35.9m)",AK-74М,35.9,:banana:,BERS
2023-11-17 02:23:00,":banana: убил WasEbet (AK-74М, 12.43m)",AK-74М,12.43,:banana:,WasEbet
2023-11-17 02:43:00,":3 убил DrScalp (Winchester Model 70, 104.96m)",Winchester Model 70,104.96,:3,DrScalp
2023-11-17 02:55:00,"nee1q убил :banana: (AK-101, 32.5m)",AK-101,32.5,nee1q,:banana:
2023-11-17 03:43:00,"nee1q убил [clowns]NARUTO (AK-101, 5.02m)",AK-101,5.02,nee1q,[clowns]NARUTO
2023-11-17 03:48:00,"Samurai убил [clowns]Selfik (Винтовка Мосина, 161.08m)",Винтовка Мосина,161.08,Samurai,[clowns]Selfik
2023-11-17 03:51:00,"Chervyak убил Munianyo (Winchester Model 70, 56.82m)",Winchester Model 70,56.82,Chervyak,Munianyo
2023-11-17 04:23:00,"Samurai убил nee1q (Винтовка Мосина, 70.44m)",Винтовка Мосина,70.44,Samurai,nee1q
2023-11-17 04:23:00,"nee1q убил Munianyo (FN FAL, 60.85m)",FN FAL,60.85,nee1q,Munianyo
2023-11-17 04:35:00,"Samurai убил Chervyak (Ruger Mk II, 5.27m)",Ruger Mk II,5.27,Samurai,Chervyak
2023-11-17 06:53:00,"xr4ge убил BURT from PL (Škorpion vz. 64, 4.32m)",Škorpion vz. 64,4.32,xr4ge,BURT from PL
2023-11-17 07:20:00,"Fallen убил Koresh (АКМН, 9.2m)",АКМН,9.2,Fallen,Koresh
2023-11-17 08:25:00,"Fallen убил [GTm] - I.Grynchuk (Blaser B95 Luxus, 96.56m)",Blaser B95 Luxus,96.56,Fallen,[GTm] - I.Grynchuk
2023-11-17 08:28:00,"mq x wkNz  убил SPLY  (Winchester Model 70, 65.33m)",Winchester Model 70,65.33,mq x wkNz ,SPLY 
2023-11-17 08:29:00,"mq x wkNz  убил ARBUZIK (Winchester Model 70, 73.18m)",Winchester Model 70,73.18,mq x wkNz ,ARBUZIK
2023-11-17 08:29:00,"Fallen убил [GTm] Z (АКМН, 13.73m)",АКМН,13.73,Fallen,[GTm] Z
2023-11-17 09:16:00,"xr4ge убил mq x wkNz  (Застава М59/66, 69.41m)",Застава М59/66,69.41,xr4ge,mq x wkNz 
2023-11-17 09:22:00,"xr4ge убил Vang0k (AKM, 17.85m)",AKM,17.85,xr4ge,Vang0k
2023-11-17 09:23:00,"xr4ge убил sholk (AKM, 19.37m)",AKM,19.37,xr4ge,sholk
2023-11-17 09:30:00,"xr4ge убил tar_tar_rus (FN SCAR-H CQC, 3.48m)",FN SCAR-H CQC,3.48,xr4ge,tar_tar_rus
2023-11-17 09:35:00,"Fallen убил twitchtvTH1SNONE (Blaser B95 Luxus, 68.58m)",Blaser B95 Luxus,68.58,Fallen,twitchtvTH1SNONE
2023-11-17 09:54:00,") убил xDDoS (Бизон-2-02, 23.35m)",Бизон-2-02,23.35,),xDDoS
2023-11-17 11:09:00,"xr4ge убил BURT from PL (Glock-19, 5.07m)",Glock-19,5.07,xr4ge,BURT from PL
2023-11-17 11:10:00,"skaZZka убил [clowns]Selfik (FN SCAR-H, 2.7m)",FN SCAR-H,2.7,skaZZka,[clowns]Selfik
2023-11-17 11:10:00,"[clowns]NARUTO убил skaZZka (CMMG Mk47 Mutant, 5.06m)",CMMG Mk47 Mutant,5.06,[clowns]NARUTO,skaZZka
2023-11-17 11:10:00,"[clowns]NARUTO убил AlpHi (CMMG Mk47 Mutant, 32.41m)",CMMG Mk47 Mutant,32.41,[clowns]NARUTO,AlpHi
2023-11-17 11:26:00,":man_detective: убил ) (Winchester Model 70, 257.34m)",Winchester Model 70,257.34,:man_detective:,)
2023-11-17 11:29:00,"DokToP_PoMaHoB убил [GTm] Z (Винтовка Мосина, 97.86m)",Винтовка Мосина,97.86,DokToP_PoMaHoB,[GTm] Z
2023-11-17 11:55:00,"skaZZka убил Max79125 (ИЖ-18, 46.27m)",ИЖ-18,46.27,skaZZka,Max79125
2023-11-17 12:15:00,"Apsua убил [R.I.P.]Loki (АКС-74У, 20.4m)",АКС-74У,20.4,Apsua,[R.I.P.]Loki
2023-11-17 12:17:00,"meplo убил Apsua (AK-102, 20.1m)",AK-102,20.1,meplo,Apsua
2023-11-17 12:18:00,"[R.I.P.]Blackpack убил sex  (Steyr Scout, 130.72m)",Steyr Scout,130.72,[R.I.P.]Blackpack,sex 
2023-11-17 12:22:00,"xr4ge убил alexsmit21 (Glock-19, 3.61m)",Glock-19,3.61,xr4ge,alexsmit21
2023-11-17 12:24:00,"[R.I.P.]Blackpack убил meplo (Steyr Scout, 52.89m)",Steyr Scout,52.89,[R.I.P.]Blackpack,meplo
2023-11-17 12:24:00,"[R.I.P.]Blackpack убил FijdkaBuvdka (AK-74М, 42.54m)",AK-74М,42.54,[R.I.P.]Blackpack,FijdkaBuvdka
2023-11-17 12:30:00,"skaZZka убил Undead (СВТ-40, 219.17m)",СВТ-40,219.17,skaZZka,Undead
2023-11-17 12:41:00,"boujee убил Apsua (Winchester Model 70, 2.42m)",Winchester Model 70,2.42,boujee,Apsua
2023-11-17 12:54:00,"Houstik убил Loki (Winchester Model 70, 81.3m)",Winchester Model 70,81.3,Houstik,Loki
2023-11-17 13:07:00,"Undead убил Knyaz (ИЖ-18МН, 64.13m)",ИЖ-18МН,64.13,Undead,Knyaz
2023-11-17 13:13:00,":banana: убил xr4ge (Винтовка Мосина, 15.82m)",Винтовка Мосина,15.82,:banana:,xr4ge
2023-11-17 13:13:00,"boujee убил :banana: (ADAR 2-15, 1.38m)",ADAR 2-15,1.38,boujee,:banana:
2023-11-17 13:16:00,"Isolys убил RazDora (АКС-74У, 3.13m)",АКС-74У,3.13,Isolys,RazDora
2023-11-17 13:17:00,":3 убил boujee (Winchester Model 70, 69.06m)",Winchester Model 70,69.06,:3,boujee
2023-11-17 13:27:00,"I Am Legend убил De_Bill (M14 DMR, 70.18m)",M14 DMR,70.18,I Am Legend,De_Bill
2023-11-17 13:34:00,"I Am Legend убил Detkov (M14 DMR, 132.53m)",M14 DMR,132.53,I Am Legend,Detkov
2023-11-17 13:35:00,"Isolys убил INDIGO (Steyr AUG A3, 2.48m)",Steyr AUG A3,2.48,Isolys,INDIGO
2023-11-17 13:37:00,"xr4ge убил Max79125 (FN SCAR-H CQC, 38.7m)",FN SCAR-H CQC,38.7,xr4ge,Max79125
2023-11-17 13:38:00,"I Am Legend убил Gagysik (M14 DMR, 131.17m)",M14 DMR,131.17,I Am Legend,Gagysik
2023-11-17 13:51:00,"GuGi убил Bos_S (FN FAL, 5.1m)",FN FAL,5.1,GuGi,Bos_S
2023-11-17 13:53:00,"xr4ge убил :3 (FN SCAR-H CQC, 95.83m)",FN SCAR-H CQC,95.83,xr4ge,:3
2023-11-17 13:54:00,"xr4ge убил :banana: (FN SCAR-H CQC, 29.33m)",FN SCAR-H CQC,29.33,xr4ge,:banana:
2023-11-17 14:14:00,"4ekHyTbIu* убил mq x wkNz  (АН-94 «Абакан», 3.15m)",АН-94 «Абакан»,3.15,4ekHyTbIu*,mq x wkNz 
2023-11-17 14:22:00,"Kokojaba убил BURT from PL (Winchester Model 70, 49.49m)",Winchester Model 70,49.49,Kokojaba,BURT from PL
2023-11-17 14:26:00,"xr4ge убил SmeiL (FN SCAR-H CQC, 1.53m)",FN SCAR-H CQC,1.53,xr4ge,SmeiL
2023-11-17 14:35:00,"[MNLT]8 убил sholk (АКС-74У, 30.91m)",АКС-74У,30.91,[MNLT]8,sholk
2023-11-17 14:38:00,"oDino4ka убил Isolys (АК-12, 34.37m)",АК-12,34.37,oDino4ka,Isolys
2023-11-17 14:38:00,"[MNLT]8 убил oDino4ka (АКС-74У, 5.6m)",АКС-74У,5.6,[MNLT]8,oDino4ka
2023-11-17 14:40:00,":cat: убил s7menka55 (АК-12, 18.26m)",АК-12,18.26,:cat:,s7menka55
2023-11-17 14:40:00,"Nigan убил Slaven (СВТ-40, 306.88m)",СВТ-40,306.88,Nigan,Slaven
2023-11-17 14:50:00,":3 убил w1zzy (Winchester Model 70, 73.19m)",Winchester Model 70,73.19,:3,w1zzy
2023-11-17 15:06:00,"Zhuleibib убил FerSomy (Blaser B95 Luxus, 2.85m)",Blaser B95 Luxus,2.85,Zhuleibib,FerSomy
